-24566370,-11578844,36363307
-24603676,-11606671,36428439
-24657800,-11624100,36499993
-24713758,-11636943,36568794
-24759320,-11663852,36641265
-24803047,-11688315,36709455
-24845857,-11711249,36775199
-24887138,-11728067,36833298
-24924138,-11742133,36884364
-24982237,-11743356,36943687
-25043394,-11729902,36991389
-25104551,-11748860,37071505
-25163262,-11744274,37125628
-25202402,-11748860,37169356
-25226865,-11768125,37213083
-25244601,-11800844,37263537
-25300559,-11812464,37331116
-25357129,-11809406,37384628
-25395352,-11812158,37425603
-25435410,-11811241,37464744
-25464765,-11827141,37510000
-25481584,-11849158,37548834
-25497179,-11870869,37586140
-25528369,-11893802,37640264
-25557112,-11920406,37695611
-25557112,-11966273,37741479
-25557112,-11967802,37743008
-25638757,-11972389,37829239
-25662302,-11989513,37869908
-25674840,-12013058,37905991
-25699302,-12046695,37964090
